Question, -1.0, -0.67, -0.6, -0.5, -0.17, 0.0, 0.17, 0.33, -0.47, 0.67, 0.83, 0.03, -0.83, -0.13, 0.2, 0.5, 1.0, -0.33, -0.27
IPC033-289 v1,1.0,9.0,1.0,3.0,47.0,62.0,15.0,109.0,,,,,,,,,,,
IPC033-290 v1,,21.0,,,,122.0,1.0,101.0,2.0,4.0,1.0,,,,,,,,
IPC033-291 v1,1.0,,,,34.0,62.0,3.0,144.0,2.0,,,7.0,,,,,,,
IPC033-292 v1,,1.0,,,,180.0,1.0,20.0,7.0,7.0,,,1.0,25.0,10.0,1.0,1.0,,
IPC033-293 v1,,,,,1.0,171.0,,29.0,9.0,9.0,,,,21.0,13.0,,,1.0,
IPC033-294 v1,,,,,,146.0,,67.0,8.0,6.0,,,,15.0,8.0,,2.0,1.0,1.0
IPC033-295 v1,,,,,,202.0,,30.0,,17.0,3.0,,,,,,2.0,,
IPC033-309 v1,1.0,,,,,107.0,11.0,118.0,2.0,,,,,,,,,,
MSE,0.063,,,,,,,,,,,,,,,,,,
MAD,0.158,,,,,,,,,,,,,,,,,,
